SN,Average
1655,32.5
1656,37.5
1657,42.5
1658,37.5
1659,37.5
1660,37.5
1661,27.5
1662,37.5
1663,32.5
1664,210
1665,130
1666,55
1667,57.5
1668,75
1669,57.5
1670,125
1671,175
1672,52.5
1673,125
1674,47.5
1675,6.5
1676,75
1677,65
1678,65
1679,175
1680,55
1681,55
1682,350
1683,205
1684,75
1685,255
1686,47.5
1687,87.5
1688,65
1689,32.5
1690,19
1691,65
1692,55
1693,175
1694,175
1695,35
1696,85
1697,42.5
1698,95
1699,87.5
1700,55
1701,80
1702,55
1703,215
1704,67.5
1705,42.5
1706,23.5
1707,19.5
1708,53.5
1709,47.5
1710,16
1711,45
1712,22.5
1713,30
1714,42.5
1715,45
1716,42.5
1717,57.5
1718,27.5
1719,22.5
1720,42.5
1721,32.5
1722,22.5
1723,32.5
1724,19
1725,37.5
1726,26
1727,32.5
1728,42.5
1729,32.5
1730,37.5
1731,37.5
1732,27.5
1733,32.5
1734,32.5
1735,210
1736,130
1737,55
1738,57.5
1739,65
1740,52.5
1741,125
1742,175
1743,32.5
1744,125
1745,42.5
1746,6.5
1747,75
1748,65
1749,65
1750,175
1751,135
1752,55
1753,350
1754,205
1755,75
1756,255
1757,47.5
1758,90
1759,65
1760,37.5
1761,17.5
1762,75
1763,55
1764,165
1765,175
1766,37.5
1767,75
1768,37.5
1769,75
1770,87.5
1771,65
1772,75
1773,55
1774,215
1775,57.5
1776,38
1777,23.5
1778,18.5
1779,51.5
1780,37.5
1781,16
1782,55
1783,22.5
1784,27.5
1785,37.5
1786,37.5
1787,32.5
1788,62.5
1789,23
1790,22.5
1791,42.5
1792,30
1793,27.5
1794,37.5
1795,27.5
1796,37.5
1797,20
1798,32.5
1799,37.5
1800,32.5
1801,32.5
1802,32.5
1803,27.5
1804,32.5
1805,37.5
1806,190
1807,55
1808,57.5
1809,65
1810,57.5
1811,125
1812,175
1813,37.5
1814,125
1815,52.5
1816,6.5
1817,75
1818,65
1819,65
1820,175
1821,135
1822,55
1823,350
1824,195
1825,65
1826,275
1827,47.5
1828,87.5
1829,75
1830,27.5
1831,16.5
1832,75
1833,55
1834,165
1835,175
1836,37.5
1837,67.5
1838,37.5
1839,75
1840,87.5
1841,55
1842,75
1843,55
1844,215
1845,52.5
1846,30
1847,24.5
1848,19.5
1849,51.5
1850,51.5
1851,17
1852,55
1853,22.5
1854,22.5
1855,37.5
1856,37.5
1857,37.5
1858,57.5
1859,20
1860,20
1861,37.5
1862,29
1863,27.5
1864,30
1865,19
1866,32.5
1867,19
1868,32.5
1869,42.5
1870,37.5
1871,37.5
1872,37.5
1873,32.5
1874,37.5
1875,37.5
1876,190
1877,130
1878,55
1879,57.5
1880,65
1881,37.5
1882,125
1883,175
1884,37.5
1885,125
1886,42.5
