Timestamp,OutboundUtilzation (%)
12544.0,77.2489
12564.0,41.4219
12575.0,63.0664
12576.0,61.6488
12594.0,40.9867
12597.0,81.2658
12607.0,47.1409
12608.0,46.1016
12639.0,26.089
12640.0,27.5584
12657.0,62.86
12671.0,33.6867
12672.0,34.3961
12675.0,61.5023
12688.0,16.1635
12703.0,28.709
12704.0,34.1945
12705.0,67.034
12716.0,16.3931
12722.0,95.0792
12733.0,47.6185
12735.0,74.8699
12736.0,78.9861
12748.0,66.7558
12755.0,99.4126
12760.0,59.3075
12767.0,90.7023
12768.0,70.9298
12778.0,93.5834
12784.0,32.4398
12786.0,83.7092
12794.0,10.2626
12799.0,63.4915
12800.0,57.6226
12812.0,99.7497
12815.0,46.3613
12822.0,92.732
12831.0,50.5188
12832.0,49.3712
12838.0,83.6545
12851.0,36.7085
12858.0,88.4116
12863.0,41.5851
12864.0,37.6784
12882.0,88.2501
12895.0,42.6123
12896.0,34.8747
12906.0,57.2391
12920.0,15.0223
12927.0,46.1027
12928.0,41.3304
12959.0,33.0256
12960.0,33.2357
12965.0,51.8271
12981.0,21.5384
12990.0,53.2265
12991.0,18.674
12992.0,35.3716
13003.0,95.3798
13011.0,39.2923
13023.0,70.5825
13024.0,52.702
13027.0,93.771
13034.0,35.2741
13055.0,93.1262
13056.0,91.8723
13069.0,9.67553
13087.0,57.9391
13088.0,59.1151
13098.0,94.5203
13119.0,33.0263
13120.0,51.0636
13121.0,88.4985
13143.0,41.5781
13146.0,88.2076
13151.0,38.1999
13152.0,41.7882
13169.0,87.8499
13183.0,22.3002
13184.0,17.995
13215.0,34.5816
13216.0,33.4003
13247.0,58.483
13248.0,46.9602
13255.0,25.495
13260.0,59.0737
13273.0,31.2917
13277.0,72.4323
13279.0,38.4138
13280.0,36.5766
13291.0,94.729
13307.0,67.7102
13311.0,97.833
13312.0,99.4663
13331.0,57.8827
13340.0,97.369
13343.0,56.3757
13344.0,55.906
13351.0,91.8983
13356.0,21.228
13360.0,84.2631
13368.0,12.2733
13375.0,62.2849
13376.0,61.2885
13387.0,99.5738
13392.0,55.4803
13407.0,81.2064
13408.0,96.0473
13418.0,58.9466
13434.0,93.6862
13439.0,59.592
13440.0,55.8297
13456.0,82.865
13471.0,55.9856
13472.0,54.5511
13486.0,89.1214
13503.0,44.2792
13504.0,55.142
13535.0,79.6434
13536.0,78.6543
13542.0,56.7154
13563.0,79.513
13566.0,44.8211
13567.0,77.2969
13568.0,81.4055
13594.0,49.6006
13599.0,90.5265
13600.0,96.254
13616.0,49.0942
13631.0,82.1297
13632.0,81.4585
13636.0,99.7134
13663.0,54.4992
13664.0,53.6355
13671.0,98.4934
13695.0,72.2545
13696.0,77.6583
13713.0,49.1598
13727.0,91.7373
13728.0,92.0554
13759.0,94.0507
13760.0,92.6851
13791.0,87.3138
13792.0,87.4637
13823.0,85.5604
13824.0,84.6191
13855.0,80.7262
13856.0,80.4346
13887.0,94.1028
13888.0,96.8955
13919.0,99.8929
13920.0,98.5239
13929.0,67.8541
13951.0,95.9404
13952.0,98.4099
13983.0,62.5365
13984.0,62.4586
13997.0,80.9119
14015.0,60.9518
14016.0,65.1156
14027.0,47.9811
14033.0,85.2571
14047.0,69.0526
14048.0,65.7681
14079.0,54.2059
14080.0,54.0602
14100.0,77.1314
14111.0,51.4778
14112.0,45.9223
14143.0,94.8661
14144.0,94.9163
14167.0,60.2042
14175.0,91.138
14176.0,85.3277
14203.0,98.8896
14207.0,78.846
14208.0,76.7861
14217.0,45.0661
14222.0,93.0468
14225.0,64.9469
14234.0,95.508
14239.0,76.1707
14240.0,76.4818
14256.0,56.2731
14259.0,90.4329
14271.0,52.8418
14272.0,86.7269
14278.0,65.5819
14281.0,99.2296
14303.0,76.0249
14304.0,78.0044
14310.0,47.1445
14323.0,66.0832
14335.0,49.7168
14336.0,46.8818
14367.0,66.0293
14368.0,69.5241
14381.0,48.6992
14389.0,79.746
14397.0,41.632
14399.0,64.3959
14400.0,58.4352
14403.0,99.4312
14410.0,66.8968
14431.0,96.1438
14432.0,95.7843
14446.0,75.8707
14463.0,90.5615
14464.0,88.0905
14473.0,69.3966
14487.0,97.2257
14495.0,68.3261
14496.0,94.8735
14517.0,64.6709
14520.0,91.6655
14527.0,57.2254
14528.0,64.0726
14532.0,98.2844
14559.0,69.9211
14560.0,64.5839
14568.0,89.6628
14577.0,54.8509
14591.0,65.0882
14592.0,64.5519
14623.0,66.6292
14624.0,68.7629
14629.0,50.3569
14631.0,82.0433
14655.0,68.691
14656.0,66.221
14664.0,85.5634
14672.0,45.7932
14687.0,89.1815
14688.0,95.9159
14699.0,54.3636
14708.0,93.6901
14719.0,76.6878
14720.0,80.8958
14724.0,99.6552
14751.0,79.8251
14752.0,78.4255
14768.0,99.9834
14775.0,66.0491
14783.0,90.4745
14784.0,80.9755
14808.0,35.6226
14815.0,76.3072
14816.0,58.8225
14825.0,27.2957
14836.0,78.922
14847.0,60.6088
14848.0,58.9602
14879.0,38.8494
14880.0,38.3144
14901.0,67.4432
14906.0,39.9476
14911.0,79.663
14912.0,81.0317
14931.0,38.4577
14933.0,63.6022
14943.0,49.9774
14944.0,70.4834
14954.0,11.9386
14975.0,85.2896
14976.0,84.2841
14990.0,62.6207
14993.0,99.0781
15007.0,82.9164
15008.0,83.971
15039.0,67.937
15040.0,66.1126
15051.0,42.712
15064.0,71.6921
15071.0,39.9255
15072.0,38.7906
15080.0,80.9954
15093.0,40.2938
15095.0,79.3731
15103.0,56.4643
15104.0,48.7358
15107.0,78.8815
15116.0,43.1778
15118.0,73.2551
15135.0,54.4072
15136.0,47.9815
15167.0,24.0271
15168.0,16.5397
15193.0,42.8196
15199.0,25.43
15200.0,23.0809
15222.0,11.4996
15226.0,44.551
15231.0,13.4631
15232.0,20.0623
15241.0,82.2066
15252.0,56.3655
15263.0,72.1148
15264.0,72.0119
15269.0,47.8839
15279.0,92.2137
15295.0,73.554
15296.0,72.7407
15302.0,32.1863
15313.0,67.6734
15327.0,56.9797
15328.0,62.9089
15339.0,40.2202
15359.0,74.3381
15360.0,70.2696
15379.0,51.1465
15384.0,83.9341
15391.0,40.8258
15392.0,40.2748
15401.0,10.5746
15405.0,57.8628
15414.0,22.7555
15423.0,44.7092
15424.0,36.3443
15451.0,55.7406
15455.0,37.5024
15456.0,39.7149
15484.0,24.8582
15487.0,80.0199
15488.0,77.8826
15496.0,36.4729
15513.0,80.8061
15519.0,36.9023
15520.0,40.5088
15529.0,90.8281
15551.0,67.7533
15552.0,63.8398
15562.0,97.8134
15570.0,62.3291
15575.0,97.5107
15583.0,80.1394
15584.0,74.029
15598.0,96.6802
15609.0,47.314
15615.0,72.7642
15616.0,69.0265
15633.0,93.6269
15643.0,46.5468
15647.0,92.3422
15648.0,94.5235
15656.0,51.1674
15671.0,85.7464
15679.0,51.3867
15680.0,54.3007
15711.0,62.2324
15712.0,60.6963
15718.0,33.2505
15727.0,59.4348
15743.0,42.9593
15744.0,39.0933
15759.0,67.5566
15775.0,20.189
15776.0,20.0342
15782.0,67.3679
15807.0,23.4635
15808.0,14.6122
15817.0,98.8815
15838.0,60.0732
15839.0,85.5074
15840.0,89.6735
15859.0,73.2172
15864.0,99.488
15867.0,68.798
15871.0,91.511
15872.0,92.5518
15889.0,52.1486
15903.0,72.0909
15904.0,82.5755
15911.0,56.5334
15915.0,97.4813
15922.0,45.8702
15929.0,85.4929
15935.0,39.9804
15936.0,38.5163
15951.0,89.9083
15967.0,54.3131
15968.0,55.2567
15981.0,72.4145
15992.0,29.41
15996.0,73.5668
15999.0,47.8623
16000.0,43.922
16013.0,28.5587
16016.0,63.1911
16031.0,28.601
16032.0,26.408
16063.0,15.0823
16064.0,12.4722
16082.0,87.9441
16095.0,66.5822
16096.0,73.7844
16100.0,93.1904
16127.0,69.5684
16128.0,63.7306
16133.0,95.5133
16159.0,69.6141
16160.0,71.952
16164.0,93.8866
16166.0,54.3461
16171.0,80.9855
16191.0,47.5412
16192.0,41.1557
16197.0,85.7565
16223.0,64.9964
