date,value
01/01/2022,43.34
01/01/2022,43.52
01/01/2022,52.21
01/01/2022,49.97
01/01/2022,38.52
01/01/2022,40.22
01/01/2022,32.53
01/01/2022,51.85
01/01/2022,39.79
01/01/2022,34.9
01/01/2022,29.6
01/01/2022,25.53
01/01/2022,26.32
01/01/2022,31.24
01/01/2022,30.24
01/01/2022,28.77
01/01/2022,27.5
01/01/2022,37.63
01/01/2022,23.29
01/01/2022,19.41
01/01/2022,25.56
01/01/2022,16.65
01/01/2022,32.28
01/01/2022,24.49
01/01/2022,45.21
01/01/2022,35.58
01/01/2022,72.09
01/01/2022,56.83
01/01/2022,33.51
01/01/2022,41.59
01/01/2022,43.26
01/01/2022,55.74
01/01/2022,58.03
01/01/2022,60.52
01/01/2022,64.1
01/01/2022,52.49
01/01/2022,49.51
01/01/2022,50.59
01/01/2022,36.87
01/01/2022,31.64
01/01/2022,34.58
01/01/2022,71.89
01/01/2022,38.23
01/01/2022,46.42
01/01/2022,31.56
01/01/2022,54.27
01/01/2022,48.67
01/01/2022,61.59
01/01/2022,17.66
01/01/2022,38.43
01/01/2022,28.15
01/01/2022,37.26
01/01/2022,43.7
01/01/2022,32
01/01/2022,49.37
01/01/2022,64.89
01/01/2022,41.58
01/01/2022,43.18
01/01/2022,30.22
01/01/2022,37.71
01/01/2022,37.36
01/01/2022,18.85
01/01/2023,75.02
01/01/2023,67.29
01/01/2023,48.32
01/01/2023,79.78
01/01/2023,69.54
01/01/2023,65.05
01/01/2023,51.03
01/01/2023,59.93
01/01/2023,44.25
01/01/2023,42.77
01/01/2023,55.17
01/01/2023,43.47
01/01/2023,62.82
01/01/2023,58.27
01/01/2023,60.06
01/01/2023,40.28
01/01/2023,65.77
01/01/2023,44.76
01/01/2023,59.21
01/01/2023,41.64
01/01/2023,78.58
01/01/2023,55.73
01/01/2023,63.53
01/01/2023,46.79
01/01/2023,69.39
01/01/2023,48.48
01/01/2023,66.42
01/01/2023,58.61
01/01/2023,63.46
01/01/2023,68.35
01/01/2023,82.7
01/01/2023,54.25
01/01/2023,72.6
01/01/2023,54.87
01/01/2023,51.59
01/01/2023,39.33
01/01/2023,61.95
01/01/2023,73.14
01/01/2023,65.84
01/01/2023,58.49
01/01/2023,89.16
01/01/2023,92.89
01/01/2023,90.83
01/01/2023,74.38
01/01/2023,69.72
01/01/2023,63.84
01/01/2023,72.86
01/01/2023,75.02
01/01/2023,39.22
01/01/2023,75.41
01/01/2023,55.83
01/01/2023,54.78
01/01/2023,57.24
01/01/2023,65.17
01/01/2023,39.87
01/01/2023,42.71
01/01/2023,51.65
01/01/2023,46.31
01/01/2023,60.82
01/01/2023,73.6
01/01/2023,54.78
01/01/2023,60.13
01/01/2023,63.17
01/01/2023,52.24
01/01/2023,64.41
01/01/2023,36.73
01/01/2023,68.51
01/01/2023,47.77
01/01/2023,69.07
01/01/2023,73.5
01/01/2023,54.08
01/01/2023,39.57
01/01/2023,63.56
01/01/2023,42.94
01/01/2023,58.08
01/01/2023,39.46
01/01/2023,48.11
01/02/2019,89.19
01/02/2019,62.81
01/02/2019,72.6
01/02/2019,66.38
01/02/2019,77.15
01/02/2019,70.39
01/02/2019,66.71
01/02/2019,72.54
01/02/2019,74.15
01/02/2019,57.36
01/02/2019,71.55
01/02/2019,64.65
01/02/2019,65.02
01/02/2019,60.73
01/02/2019,75.13
01/02/2019,70.44
01/02/2019,90.48
01/02/2019,77.28
01/02/2019,52.86
01/02/2019,87.85
01/02/2019,65.38
01/02/2019,82.58
01/02/2019,61.42
01/02/2019,64.61
01/02/2019,73.23
01/02/2019,61.7
01/02/2019,86.38
01/02/2019,71.3
01/02/2019,84.56
01/02/2019,67.5
01/02/2019,64.59
01/02/2019,79.58
01/02/2019,50.34
01/02/2019,64.19
01/02/2019,88.33
01/02/2019,84.72
01/02/2019,71.54
01/02/2019,80.32
01/02/2019,76.58
01/02/2019,78.49
01/02/2019,51.64
01/02/2019,72.58
01/02/2019,85.49
01/02/2019,55.46
01/02/2019,64.21
01/02/2019,72.58
01/02/2019,66.37
01/02/2019,61.75
01/02/2019,63.07
01/02/2019,61.43
01/02/2019,67.04
01/02/2019,58.51
01/02/2019,72.96
01/02/2019,56.09
01/02/2019,54.37
01/02/2019,64.81
01/02/2019,72.58
01/02/2019,55.78
01/02/2019,52.51
01/02/2019,54.19
01/02/2019,64.67
01/02/2019,74.62
01/02/2019,63.6
01/02/2019,58.65
01/02/2019,62.78
01/02/2019,55.35
01/02/2019,70.97
01/02/2019,64.24
01/02/2019,60.39
01/02/2019,66.25
01/02/2019,61.58
01/02/2019,83.04
01/02/2019,69.81
01/02/2019,58.3
01/02/2019,60.91
01/02/2019,63.3
01/02/2019,61.07
01/02/2020,68.37
01/02/2020,52.2
01/02/2020,50.54
01/02/2020,50.91
01/02/2020,58.98
01/02/2020,60.59
01/02/2020,54.21
01/02/2020,59.3
01/02/2020,52.08
01/02/2020,45.4
01/02/2020,46.98
01/02/2020,61.43
01/02/2020,42.51
01/02/2020,50.34
01/02/2020,59.78
01/02/2020,61.11
01/02/2020,71.95
01/02/2020,61.09
01/02/2020,53.11
01/02/2020,46.07
01/02/2020,57.05
01/02/2020,67.36
01/02/2020,50.72
01/02/2020,46.87
01/02/2020,53.95
01/02/2020,44.43
01/02/2020,56.13
01/02/2020,58.48
01/02/2020,63.38
01/02/2020,57.67
01/02/2020,49.47
01/02/2020,42.24
01/02/2020,29.48
01/02/2020,51.4
01/02/2020,47.13
01/02/2020,64.85
01/02/2020,47.71
01/02/2020,61.64
01/02/2020,60.55
01/02/2020,67.32
01/02/2020,45.29
01/02/2020,48.63
01/02/2020,58.47
01/02/2020,47.29
01/02/2020,56.72
01/02/2020,65.23
01/02/2020,58.64
01/02/2020,53.02
01/02/2020,55.76
01/02/2020,53.16
01/02/2020,60.43
01/02/2020,53.84
01/02/2020,53.52
01/02/2020,49.35
01/02/2020,48.17
01/02/2020,56.87
01/02/2020,64.72
