date,ncumul_conf
09/04/2020,96
09/04/2020,645
09/04/2020,213
09/04/2020,4683
09/04/2020,1569
09/04/2020,79
09/04/2020,4477
09/04/2020,62
09/04/2020,282
09/04/2020,853
09/04/2020,74
09/04/2020,1427
09/04/2020,2714
09/04/2020,165
09/04/2020,53
09/04/2020,841
09/04/2020,269
09/04/2020,24
09/04/2020,526
09/04/2020,72
09/04/2020,2866
10/04/2020,782
10/04/2020,799
10/04/2020,76
10/04/2020,730
10/04/2020,175
10/04/2020,564
10/04/2020,100
10/04/2020,648
10/04/2020,215
10/04/2020,4731
10/04/2020,1601
10/04/2020,79
10/04/2020,4526
10/04/2020,62
10/04/2020,294
10/04/2020,880
10/04/2020,77
10/04/2020,1444
10/04/2020,2776
10/04/2020,168
10/04/2020,55
10/04/2020,854
10/04/2020,285
10/04/2020,550
10/04/2020,2906
10/04/2020,74
11/04/2020,790
11/04/2020,838
11/04/2020,91
11/04/2020,743
11/04/2020,176
11/04/2020,573
11/04/2020,103
11/04/2020,656
11/04/2020,249
11/04/2020,4771
11/04/2020,1625
11/04/2020,79
11/04/2020,4574
11/04/2020,62
11/04/2020,306
11/04/2020,901
11/04/2020,1464
11/04/2020,2818
11/04/2020,168
11/04/2020,861
11/04/2020,57
11/04/2020,77
11/04/2020,290
11/04/2020,24
11/04/2020,559
11/04/2020,2964
11/04/2020,75
12/04/2020,797
12/04/2020,849
12/04/2020,91
12/04/2020,747
12/04/2020,176
12/04/2020,583
12/04/2020,104
12/04/2020,663
12/04/2020,251
12/04/2020,4808
12/04/2020,1638
12/04/2020,80
12/04/2020,4598
12/04/2020,62
12/04/2020,315
12/04/2020,909
12/04/2020,1475
12/04/2020,2869
12/04/2020,168
12/04/2020,57
12/04/2020,877
12/04/2020,294
12/04/2020,562
12/04/2020,2981
12/04/2020,77
13/04/2020,803
13/04/2020,862
13/04/2020,92
13/04/2020,750
13/04/2020,177
13/04/2020,588
13/04/2020,104
13/04/2020,669
13/04/2020,251
13/04/2020,4852
13/04/2020,1652
13/04/2020,80
13/04/2020,4641
13/04/2020,62
13/04/2020,321
13/04/2020,916
13/04/2020,78
13/04/2020,1492
13/04/2020,2900
13/04/2020,170
13/04/2020,57
13/04/2020,888
13/04/2020,297
13/04/2020,24
13/04/2020,568
13/04/2020,2998
14/04/2020,821
14/04/2020,883
14/04/2020,105
14/04/2020,753
14/04/2020,178
14/04/2020,599
14/04/2020,678
14/04/2020,258
14/04/2020,4919
14/04/2020,1681
14/04/2020,80
14/04/2020,4703
14/04/2020,64
14/04/2020,325
14/04/2020,930
14/04/2020,79
14/04/2020,1528
14/04/2020,2912
14/04/2020,171
14/04/2020,59
14/04/2020,894
14/04/2020,303
14/04/2020,24
14/04/2020,576
14/04/2020,78
14/04/2020,3045
15/04/2020,832
15/04/2020,894
15/04/2020,105
15/04/2020,759
15/04/2020,181
15/04/2020,612
15/04/2020,106
15/04/2020,688
15/04/2020,261
15/04/2020,4968
15/04/2020,1694
15/04/2020,80
15/04/2020,4764
15/04/2020,64
15/04/2020,329
15/04/2020,945
15/04/2020,79
15/04/2020,1558
15/04/2020,2927
15/04/2020,171
15/04/2020,60
15/04/2020,904
15/04/2020,24
15/04/2020,582
15/04/2020,311
15/04/2020,3091
15/04/2020,78
16/04/2020,840
16/04/2020,912
16/04/2020,106
16/04/2020,764
16/04/2020,182
16/04/2020,621
16/04/2020,694
16/04/2020,265
16/04/2020,4997
16/04/2020,1711
16/04/2020,80
16/04/2020,4826
16/04/2020,65
16/04/2020,343
16/04/2020,962
16/04/2020,79
16/04/2020,1580
16/04/2020,2953
16/04/2020,171
16/04/2020,60
16/04/2020,322
16/04/2020,24
16/04/2020,587
16/04/2020,3125
16/04/2020,78
17/04/2020,843
17/04/2020,935
17/04/2020,770
17/04/2020,184
17/04/2020,630
17/04/2020,107
17/04/2020,706
17/04/2020,266
17/04/2020,5029
17/04/2020,1728
17/04/2020,81
17/04/2020,4870
17/04/2020,66
17/04/2020,350
17/04/2020,988
17/04/2020,1598
17/04/2020,2977
17/04/2020,172
17/04/2020,918
17/04/2020,61
17/04/2020,331
17/04/2020,24
17/04/2020,599
17/04/2020,82
17/04/2020,108
17/04/2020,78
17/04/2020,3148
18/04/2020,845
18/04/2020,960
18/04/2020,773
18/04/2020,185
18/04/2020,633
18/04/2020,108
18/04/2020,709
18/04/2020,266
18/04/2020,5047
18/04/2020,1737
18/04/2020,81
18/04/2020,4913
18/04/2020,66
18/04/2020,353
18/04/2020,1008
18/04/2020,1606
18/04/2020,2994
18/04/2020,174
18/04/2020,62
18/04/2020,924
18/04/2020,334
18/04/2020,609
18/04/2020,111
18/04/2020,3187
18/04/2020,78
19/04/2020,846
19/04/2020,985
19/04/2020,778
19/04/2020,185
19/04/2020,634
19/04/2020,108
19/04/2020,712
19/04/2020,268
19/04/2020,5058
19/04/2020,1746
19/04/2020,81
19/04/2020,4924
19/04/2020,66
19/04/2020,355
19/04/2020,1016
19/04/2020,1616
19/04/2020,3032
19/04/2020,175
19/04/2020,63
19/04/2020,927
19/04/2020,336
19/04/2020,24
19/04/2020,616
19/04/2020,111
19/04/2020,78
19/04/2020,3214
20/04/2020,852
20/04/2020,994
20/04/2020,785
20/04/2020,186
20/04/2020,643
20/04/2020,108
20/04/2020,724
20/04/2020,272
20/04/2020,5090
20/04/2020,1765
20/04/2020,81
20/04/2020,4951
20/04/2020,67
20/04/2020,355
20/04/2020,1018
20/04/2020,1649
20/04/2020,3058
20/04/2020,175
20/04/2020,928
20/04/2020,63
20/04/2020,340
20/04/2020,24
20/04/2020,620
20/04/2020,86
20/04/2020,114
20/04/2020,78
20/04/2020,3230
21/04/2020,854
21/04/2020,1000
21/04/2020,787
21/04/2020,188
21/04/2020,648
21/04/2020,108
21/04/2020,737
21/04/2020,5121
21/04/2020,1773
21/04/2020,81
21/04/2020,4984
21/04/2020,67
21/04/2020,359
21/04/2020,1027
21/04/2020,1668
21/04/2020,3065
21/04/2020,176
21/04/2020,928
21/04/2020,63
21/04/2020,276
21/04/2020,342
21/04/2020,24
21/04/2020,628
21/04/2020,86
21/04/2020,115
21/04/2020,3255
21/04/2020,78
22/04/2020,855
22/04/2020,1011
22/04/2020,791
22/04/2020,188
22/04/2020,655
22/04/2020,108
22/04/2020,740
22/04/2020,5142
22/04/2020,1781
22/04/2020,81
22/04/2020,5012
22/04/2020,67
22/04/2020,368
22/04/2020,1038
22/04/2020,1678
22/04/2020,3089
22/04/2020,176
22/04/2020,65
22/04/2020,928
22/04/2020,282
22/04/2020,353
22/04/2020,24
22/04/2020,636
22/04/2020,117
22/04/2020,3294
22/04/2020,78
22/04/2020,87
23/04/2020,858
23/04/2020,1019
23/04/2020,794
23/04/2020,189
23/04/2020,662
23/04/2020,108
23/04/2020,746
23/04/2020,5173
23/04/2020,1796
23/04/2020,81
23/04/2020,5046
23/04/2020,68
23/04/2020,375
23/04/2020,1053
23/04/2020,1699
23/04/2020,3106
23/04/2020,178
23/04/2020,931
23/04/2020,70
23/04/2020,282
23/04/2020,359
23/04/2020,25
23/04/2020,640
23/04/2020,117
23/04/2020,88
23/04/2020,3309
23/04/2020,78
24/04/2020,860
24/04/2020,1026
24/04/2020,799
24/04/2020,189
24/04/2020,665
24/04/2020,108
24/04/2020,755
24/04/2020,5195
24/04/2020,1805
24/04/2020,82
24/04/2020,5065
24/04/2020,71
24/04/2020,376
24/04/2020,1070
24/04/2020,1709
24/04/2020,3121
24/04/2020,180
24/04/2020,936
24/04/2020,88
24/04/2020,284
24/04/2020,360
24/04/2020,25
24/04/2020,645
24/04/2020,117
24/04/2020,78
24/04/2020,3334
25/04/2020,860
25/04/2020,1034
25/04/2020,800
25/04/2020,189
25/04/2020,666
25/04/2020,108
25/04/2020,760
25/04/2020,5208
25/04/2020,1810
25/04/2020,82
25/04/2020,5083
25/04/2020,71
25/04/2020,379
25/04/2020,287
25/04/2020,1078
25/04/2020,1713
25/04/2020,3142
25/04/2020,181
25/04/2020,938
25/04/2020,72
25/04/2020,361
25/04/2020,25
25/04/2020,653
25/04/2020,78
25/04/2020,120
25/04/2020,3365
26/04/2020,861
26/04/2020,1038
26/04/2020,802
26/04/2020,189
26/04/2020,667
26/04/2020,110
26/04/2020,760
26/04/2020,5216
26/04/2020,1812
26/04/2020,82
26/04/2020,5088
26/04/2020,71
26/04/2020,380
26/04/2020,293
26/04/2020,1088
26/04/2020,1722
26/04/2020,3161
26/04/2020,181
26/04/2020,940
26/04/2020,73
26/04/2020,361
26/04/2020,654
26/04/2020,80
26/04/2020,120
26/04/2020,3368
27/04/2020,864
27/04/2020,1045
27/04/2020,807
27/04/2020,190
27/04/2020,672
27/04/2020,110
27/04/2020,765
27/04/2020,5234
27/04/2020,1830
27/04/2020,82
27/04/2020,5104
27/04/2020,75
27/04/2020,382
27/04/2020,1093
27/04/2020,1736
27/04/2020,3169
27/04/2020,185
27/04/2020,74
27/04/2020,293
27/04/2020,362
27/04/2020,94
27/04/2020,941
27/04/2020,25
27/04/2020,659
27/04/2020,121
27/04/2020,83
27/04/2020,3386
28/04/2020,868
28/04/2020,1049
28/04/2020,809
28/04/2020,191
28/04/2020,664
28/04/2020,676
28/04/2020,111
28/04/2020,769
28/04/2020,5256
28/04/2020,1840
28/04/2020,82
28/04/2020,5124
28/04/2020,78
28/04/2020,383
28/04/2020,1099
28/04/2020,1748
28/04/2020,3176
28/04/2020,185
28/04/2020,943
28/04/2020,74
28/04/2020,94
28/04/2020,295
28/04/2020,364
28/04/2020,25
28/04/2020,85
28/04/2020,121
28/04/2020,3401
29/04/2020,870
29/04/2020,1062
29/04/2020,811
29/04/2020,191
29/04/2020,672
29/04/2020,680
29/04/2020,111
29/04/2020,775
29/04/2020,5270
29/04/2020,1847
29/04/2020,82
29/04/2020,5140
29/04/2020,78
29/04/2020,384
29/04/2020,1106
29/04/2020,1761
29/04/2020,3191
29/04/2020,185
29/04/2020,75
29/04/2020,295
29/04/2020,365
29/04/2020,94
29/04/2020,946
29/04/2020,25
29/04/2020,122
29/04/2020,85
29/04/2020,3430
30/04/2020,872
30/04/2020,1075
30/04/2020,813
30/04/2020,192
30/04/2020,683
30/04/2020,685
30/04/2020,113
30/04/2020,777
30/04/2020,5283
30/04/2020,1853
30/04/2020,82
30/04/2020,5145
30/04/2020,78
30/04/2020,388
30/04/2020,1112
30/04/2020,1771
30/04/2020,3210
30/04/2020,189
30/04/2020,951
30/04/2020,75
30/04/2020,302
30/04/2020,367
30/04/2020,25
30/04/2020,122
30/04/2020,95
30/04/2020,3441
30/04/2020,86
01/05/2020,874
01/05/2020,1083
01/05/2020,814
01/05/2020,192
01/05/2020,687
01/05/2020,688
01/05/2020,113
01/05/2020,778
01/05/2020,5300
01/05/2020,1858
01/05/2020,82
01/05/2020,5163
01/05/2020,78
01/05/2020,390
01/05/2020,1124
01/05/2020,1781
01/05/2020,3218
01/05/2020,189
01/05/2020,75
01/05/2020,952
01/05/2020,303
01/05/2020,372
01/05/2020,25
01/05/2020,96
01/05/2020,122
01/05/2020,3454
01/05/2020,87
02/05/2020,875
02/05/2020,1097
02/05/2020,816
02/05/2020,192
02/05/2020,688
02/05/2020,113
02/05/2020,778
02/05/2020,5309
02/05/2020,1860
02/05/2020,82
02/05/2020,5169
